Client Table Name,Our Model Name (Animal),Our Model Name (Farm)
practice_confirmations_practiceconfirmation_farms,,
practice_confirmations_practiceconfirmation_fields,,
practice_confirmations_practiceconfirmation_uploads,,
practice_confirmations_practiceconfirmationgroup,,
practice_confirmations_practiceconfirmationgroup_confirmations,,
practice_confirmations_practiceconfirmationgrouppasture,,
practice_confirmations_practiceconfirmationgrouppasture_con23eb,,
practice_confirmations_practiceconfirmationpasture,,
practice_confirmations_practiceconfirmationpasture_crops,,
practice_confirmations_practiceconfirmationpasture_farms,,
practice_confirmations_practiceconfirmationpasture_fields,,
practice_confirmations_practiceconfirmationpasture_uploads,,
practice_confirmations_practiceconfirmationpastureevidencin5a91,,
practice_confirmations_practiceconfirmationpastureevidencing,,
raster_columns,,
raster_fieldlevelanalytics,,
raster_overviews,,
raster_pasturelevelanalytics,,
raster_raster,,
reports_report,,
reports_trialreport,,
reports_trialreport_fields,,
seed_selector_bagsperseed,,
seed_selector_microclimate,,
seed_selector_seedcompany,,
seed_selector_seedplacementplan,,
seed_selector_seedplacementplan_bags_per_seed,,
seed_selector_seedplacementplan_field_list,,
seed_selector_seedproduct,,
seed_selector_seedtrial,,
seed_selector_zipcode,,
soil_sample_samplecollector,,
soil_sample_samplecollector_partners,,
soil_sample_samplecollector_users,,
soil_sample_samplelab,,
soil_sample_samplelab_partners,,
soil_sample_samplelocation,,
soil_sample_samplelocation_sample_tests,,
soil_sample_samplelocationupload,,
soil_sample_sampleorder,,
soil_sample_sampleorder_fields,,
soil_sample_sampleordercontrolplot,,
soil_sample_sampleordercontrolplot_locations,,
soil_sample_sampleordercontrolplotupload,,
soil_sample_sampleresult,,
soil_sample_sampletest,,
spatial_ref_sys,,
users_arvauser,,
users_arvauser_groups,,
users_arvauser_user_permissions,,
users_arvauserassignedorganization,,
users_arvauserfieldsharingrequest,,
users_arvauserliabilityagreement,,
users_arvauserpasturesharingrequest,,
users_arvausersharedorganization,,
users_arvausersharingrequest,,
users_arvausersharingrequestattribute,,
users_pasturearvauserfieldsharingrequest,,
users_pasturearvausersharingrequestattribute,,
users_usergeoipdata,,
